iter	RMSE
196	5.514611749
197	5.512725517
198	5.509829622
199	5.508483973
200	5.507202405
201	5.505399233
202	5.503947805
203	5.501110519
204	5.499434486
205	5.497485481
206	5.496059194
207	5.494412909
208	5.4926032
209	5.4899307
210	5.488505754
211	5.486220205
212	5.483781036
213	5.481227207
214	5.479280278
215	5.476125642
216	5.474458741
217	5.472992974
218	5.470837335
219	5.468992856
220	5.466881099
221	5.465115795
222	5.463802269
223	5.46176019
224	5.459972248
225	5.457676212
226	5.456046551
227	5.45500993
228	5.453554438
229	5.452349321
230	5.448522907
231	5.447152744
232	5.445320216
233	5.444150439
234	5.442296999
235	5.440543846
236	5.439263369
237	5.437627953
238	5.436107947
239	5.434366962
240	5.432019332
241	5.43050955
242	5.429286633
243	5.427457955
244	5.425573601
245	5.42500553
246	5.423926965
247	5.421766246
248	5.420044941
249	5.418755782
250	5.418018042
251	5.416025691
252	5.414812697
253	5.413589179
254	5.410890152
255	5.409195381
256	5.407528293
257	5.406409851
258	5.404524011
259	5.402853223
260	5.401596478
261	5.399894031
262	5.398278619
263	5.396932277
264	5.394675647
265	5.39134726
266	5.390194435
267	5.388861634
268	5.386800991
269	5.385432437
270	5.383619165
271	5.381626921
272	5.379510169
273	5.377713039
274	5.376430004
275	5.374841733
276	5.37317622
277	5.370804058
278	5.369288871
279	5.368308533
280	5.366820253
281	5.365901342
282	5.364666858
283	5.363527619
284	5.362524852
285	5.359920064
286	5.359008732
287	5.357361021
288	5.355599479
289	5.354377309
290	5.352284773
291	5.351251614
292	5.349959285
293	5.348400891
294	5.345817566
295	5.344656246
296	5.343560742
297	5.341611314
298	5.340161837
299	5.339338356
300	5.337917544
301	5.336889589
302	5.335373859
303	5.334292452
304	5.332663006
305	5.330976685
306	5.330033421
307	5.327793944
308	5.325808226
309	5.324662043
310	5.32368555
311	5.321854953
312	5.319552386
313	5.317977668
314	5.316675671
315	5.313957826
316	5.311798584
317	5.310750115
318	5.309664133
319	5.308727392
320	5.307020595
321	5.305869251
322	5.304354222
323	5.303646656
324	5.302424456
325	5.300935333
326	5.299774587
327	5.298632133
328	5.297070558
329	5.296156921
330	5.293788939
331	5.291272743
332	5.289569608
333	5.288094376
334	5.286269947
335	5.284154133
336	5.282939466
337	5.281694548
338	5.280067192
339	5.278639306
340	5.277106629
341	5.275352193
342	5.274232725
343	5.272874729
344	5.271117409
345	5.268675127
346	5.267171376
347	5.264707468
348	5.263747242
349	5.262332529
350	5.260685596
351	5.259481771
352	5.258303527
353	5.256947702
354	5.255881913
355	5.255088945
356	5.254499591
357	5.253123153
358	5.25144909
359	5.250075427
360	5.248842612
361	5.246716171
362	5.245608213
363	5.245067202
364	5.243536868
365	5.241227566
366	5.238999421
367	5.238323673
368	5.237225144
369	5.235047311
370	5.233050054
371	5.231810032
372	5.22953414
373	5.227713382
374	5.225968046
375	5.224192844
376	5.223004119
377	5.221282849
378	5.219863307
379	5.218456276
380	5.216657735
381	5.215513605
382	5.21382339
383	5.212931783
384	5.211236147
385	5.209566357
386	5.207939515
387	5.205869766
388	5.204756908
389	5.203396796
390	5.201563164
391	5.200201831
392	5.198283887
393	5.197119772
394	5.195400986
395	5.194011908
396	5.192494702
397	5.19095198
398	5.188966322
399	5.18805316
400	5.186342439
401	5.184773912
402	5.183668388
